Wall time,Step,Value
1680755460.298142,268,9.999999747378752e-06
1680755955.3828824,270,9.999999747378752e-06
1680756449.345617,272,9.999999747378752e-06
1680756696.0654263,273,9.999999747378752e-06
1680756942.8171146,274,9.999999747378752e-06
1680757191.4615617,275,9.999999747378752e-06
1680757934.94666,278,9.999999747378752e-06
1680758182.5511463,279,9.999999747378752e-06
1680758676.7316098,281,9.999999747378752e-06
1680759171.5870125,283,9.999999747378752e-06
1680759666.950999,285,9.999999747378752e-06
1680760904.3369215,290,9.999999747378752e-06
1680761398.6963375,292,9.999999747378752e-06
1680761645.7798483,293,9.999999747378752e-06
1680762394.2599647,296,9.999999747378752e-06
1680762641.231615,297,9.999999747378752e-06
1680762888.164959,298,9.999999747378752e-06
1680763135.4492319,299,9.999999747378752e-06
1680763382.4477184,300,9.999999747378752e-06
1680763630.2604063,301,9.999999747378752e-06
1680763877.246766,302,9.999999747378752e-06
1680764125.6020958,303,9.999999747378752e-06
1680764372.5464573,304,9.999999747378752e-06
1680765362.675425,308,9.999999747378752e-06
1680765609.938261,309,9.999999747378752e-06
1680766104.500287,311,9.999999747378752e-06
1680766845.6857555,314,9.999999747378752e-06
1680767834.9858227,318,9.999999747378752e-06
1680768082.4718833,319,9.999999747378752e-06
1680768329.8432994,320,9.999999747378752e-06
1680768576.7646236,321,9.999999747378752e-06
1680769071.4282594,323,9.999999747378752e-06
1680769566.0897057,325,9.999999747378752e-06
1680769813.262731,326,9.999999747378752e-06
1680770060.4623852,327,9.999999747378752e-06
1680770307.4803343,328,9.999999747378752e-06
1680771051.079853,331,9.999999747378752e-06
1680771299.2004151,332,9.999999747378752e-06
1680771795.115525,334,9.999999747378752e-06
1680772788.189946,338,9.999999747378752e-06
1680773283.9637413,340,9.999999747378752e-06
1680773778.4882936,342,9.999999747378752e-06
1680774026.322347,343,9.999999747378752e-06
1680774274.4448373,344,9.999999747378752e-06
1680774522.6898074,345,9.999999747378752e-06
1680774772.2090924,346,9.999999747378752e-06
1680775268.7997677,348,9.999999747378752e-06
1680775517.1165411,349,9.999999747378752e-06
1680776262.3037558,352,9.999999747378752e-06
1680776757.2451253,354,9.999999747378752e-06
1680777004.4306476,355,9.999999747378752e-06
1680777498.705952,357,9.999999747378752e-06
1680777993.098007,359,9.999999747378752e-06
1680778240.1078043,360,9.999999747378752e-06
1680778487.192975,361,9.999999747378752e-06
1680778981.8085911,363,9.999999747378752e-06
1680779228.9155388,364,9.999999747378752e-06
1680779475.828167,365,9.999999747378752e-06
1680779723.26674,366,9.999999747378752e-06
1680780217.4720297,368,9.999999747378752e-06
1680780464.5703113,369,9.999999747378752e-06
1680780958.914395,371,9.999999747378752e-06
1680781206.0165856,372,9.999999747378752e-06
1680781700.172941,374,9.999999747378752e-06
1680782194.190389,376,9.999999747378752e-06
1680782441.6015284,377,9.999999747378752e-06
1680782688.582775,378,9.999999747378752e-06
1680782935.6411061,379,9.999999747378752e-06
1680783182.5647635,380,9.999999747378752e-06
1680783676.682922,382,9.999999747378752e-06
1680783923.9210715,383,9.999999747378752e-06
1680784667.1959605,386,9.999999747378752e-06
1680784914.2242677,387,9.999999747378752e-06
1680785162.7350154,388,9.999999747378752e-06
1680785409.6260002,389,9.999999747378752e-06
1680785903.5349872,391,9.999999747378752e-06
1680786150.599859,392,9.999999747378752e-06
1680786397.3683345,393,9.999999747378752e-06
1680786644.4671874,394,9.999999747378752e-06
1680787880.2925973,399,9.999999747378752e-06
1680788870.0076084,403,9.999999974752427e-07
1680789118.7064674,404,9.999999974752427e-07
1680789613.2664015,406,9.999999974752427e-07
1680789860.5203185,407,9.999999974752427e-07
1680790355.022614,409,9.999999974752427e-07
1680792086.1730702,416,9.999999974752427e-07
1680792333.4836807,417,9.999999974752427e-07
1680793075.5898921,420,9.999999974752427e-07
1680793323.1340556,421,9.999999974752427e-07
1680793570.5007405,422,9.999999974752427e-07
1680793817.818262,423,9.999999974752427e-07
1680794314.1978219,425,9.999999974752427e-07
1680794810.8930728,427,9.999999974752427e-07
1680795305.5231295,429,9.999999974752427e-07
1680795800.3662968,431,9.999999974752427e-07
1680797037.0111194,436,9.999999974752427e-07
1680798026.5529962,440,9.999999974752427e-07
1680798273.8895822,441,9.999999974752427e-07
1680798521.2754583,442,9.999999974752427e-07
1680798768.709569,443,9.999999974752427e-07
1680799265.0862226,445,9.999999974752427e-07
1680799512.6429393,446,9.999999974752427e-07
1680800255.0866928,449,9.999999974752427e-07
1680800998.2814636,452,9.999999974752427e-07
1680801740.7300882,455,9.999999974752427e-07
1680802483.157453,458,9.999999974752427e-07
1680802730.7000322,459,9.999999974752427e-07
1680802978.3003764,460,9.999999974752427e-07
1680803225.649935,461,9.999999974752427e-07
1680803473.1148605,462,9.999999974752427e-07
1680803968.0498686,464,9.999999974752427e-07
1680804215.519025,465,9.999999974752427e-07
1680804462.871475,466,9.999999974752427e-07
1680804710.4134824,467,9.999999974752427e-07
1680804957.9835794,468,9.999999974752427e-07
1680805205.5770721,469,9.999999974752427e-07
1680805452.9856944,470,9.999999974752427e-07
1680805948.0351753,472,9.999999974752427e-07
1680806445.7354267,474,9.999999974752427e-07
1680806693.2887373,475,9.999999974752427e-07
1680807436.0605626,478,9.999999974752427e-07
1680807683.6046622,479,9.999999974752427e-07
1680808674.146329,483,9.999999974752427e-07
1680809416.687553,486,9.999999974752427e-07
1680809664.2568295,487,9.999999974752427e-07
1680810159.4793677,489,9.999999974752427e-07
1680810406.951305,490,9.999999974752427e-07
1680810902.0805783,492,9.999999974752427e-07
1680811397.1773913,494,9.999999974752427e-07
1680812139.8924172,497,9.999999974752427e-07
1680812387.4951608,498,9.999999974752427e-07
1680813873.8630476,504,9.999999974752427e-07
1680814616.4515946,507,9.999999974752427e-07
1680814863.9679165,508,9.999999974752427e-07
1680815111.4586544,509,9.999999974752427e-07
1680815606.424662,511,9.999999974752427e-07
1680815853.9780045,512,9.999999974752427e-07
1680816101.4375095,513,9.999999974752427e-07
1680816596.649018,515,9.999999974752427e-07
1680816844.0901513,516,9.999999974752427e-07
1680817091.6589668,517,9.999999974752427e-07
1680817339.2091274,518,9.999999974752427e-07
1680817834.4538774,520,9.999999974752427e-07
1680818082.0959044,521,9.999999974752427e-07
1680819072.394337,525,9.999999974752427e-07
1680819320.0638914,526,9.999999974752427e-07
1680820805.7698188,532,9.999999974752427e-07
1680821300.676987,534,9.999999974752427e-07
1680821548.3428874,535,9.999999974752427e-07
1680821795.821996,536,9.999999974752427e-07
1680822043.3487568,537,9.999999974752427e-07
1680822290.8956876,538,9.999999974752427e-07
1680822538.468628,539,9.999999974752427e-07
1680822786.1872187,540,9.999999974752427e-07
1680823033.8016346,541,9.999999974752427e-07
1680823281.548904,542,9.999999974752427e-07
1680823529.0711677,543,9.999999974752427e-07
1680823776.7932744,544,9.999999974752427e-07
1680824024.5616913,545,9.999999974752427e-07
1680824519.6695137,547,9.999999974752427e-07
1680824767.1910625,548,9.999999974752427e-07
1680825014.8028119,549,9.999999974752427e-07
1680825262.6655984,550,9.999999974752427e-07
1680825758.7281423,552,9.999999974752427e-07
1680826006.3984363,553,9.999999974752427e-07
1680826254.1404521,554,9.999999974752427e-07
1680826749.3805125,556,9.999999974752427e-07
1680827244.415813,558,9.999999974752427e-07
1680827739.695914,560,9.999999974752427e-07
1680827987.3516731,561,9.999999974752427e-07
1680828731.6582553,564,9.999999974752427e-07
1680828979.1728156,565,9.999999974752427e-07
1680829226.8547137,566,9.999999974752427e-07
1680829722.0157204,568,9.999999974752427e-07
1680829969.699969,569,9.999999974752427e-07
1680830217.2927575,570,9.999999974752427e-07
1680830712.5114424,572,9.999999974752427e-07
1680831207.889485,574,9.999999974752427e-07
1680831455.653576,575,9.999999974752427e-07
1680831951.100018,577,9.999999974752427e-07
1680832198.8710232,578,9.999999974752427e-07
1680832446.6687684,579,9.999999974752427e-07
1680832694.379599,580,9.999999974752427e-07
1680832941.9691968,581,9.999999974752427e-07
1680833189.5979712,582,9.999999974752427e-07
1680833437.270946,583,9.999999974752427e-07
1680833685.0612102,584,9.999999974752427e-07
1680833932.6593552,585,9.999999974752427e-07
1680834428.0061867,587,9.999999974752427e-07
1680834675.6574903,588,9.999999974752427e-07
1680834923.2905016,589,9.999999974752427e-07
1680835666.1463253,592,9.999999974752427e-07
1680835913.8772888,593,9.999999974752427e-07
1680836161.4821367,594,9.999999974752427e-07
1680836656.7014756,596,9.999999974752427e-07
1680836904.3727956,597,9.999999974752427e-07
1680837151.9715657,598,9.999999974752427e-07
1680837399.7114172,599,9.999999974752427e-07
1680837895.9562042,601,1.0000000116860974e-07
1680838391.3002212,603,1.0000000116860974e-07
1680838638.9635937,604,1.0000000116860974e-07
1680838886.5855265,605,1.0000000116860974e-07
1680839381.9395015,607,1.0000000116860974e-07
1680839877.3070114,609,1.0000000116860974e-07
1680840372.997923,611,1.0000000116860974e-07
1680840620.652768,612,1.0000000116860974e-07
1680840868.1933346,613,1.0000000116860974e-07
1680841611.4918787,616,1.0000000116860974e-07
1680842601.9430118,620,1.0000000116860974e-07
1680842849.5103214,621,1.0000000116860974e-07
1680843345.1455278,623,1.0000000116860974e-07
1680843592.7220829,624,1.0000000116860974e-07
1680844087.9959729,626,1.0000000116860974e-07
1680845078.6313872,630,1.0000000116860974e-07
1680845326.4160855,631,1.0000000116860974e-07
1680845821.672278,633,1.0000000116860974e-07
1680846316.8803296,635,1.0000000116860974e-07
1680847307.373978,639,1.0000000116860974e-07
1680848050.5663557,642,1.0000000116860974e-07
1680848298.2908232,643,1.0000000116860974e-07
1680848795.210409,645,1.0000000116860974e-07
1680849043.048716,646,1.0000000116860974e-07
1680849290.815485,647,1.0000000116860974e-07
