Wall time,Step,Value
1680767834.9855964,318,83.44824981689453
1680768082.4718063,319,83.98739624023438
1680768329.8432212,320,84.64388275146484
1680768576.7645454,321,82.33282470703125
1680769071.42818,323,81.7791976928711
1680769566.0896258,325,84.28003692626953
1680769813.262651,326,83.4957504272461
1680770060.4623046,327,82.90141296386719
1680770307.4802537,328,82.35945129394531
1680771051.0797608,331,82.25187683105469
1680771299.2003133,332,82.1960678100586
1680771795.1154518,334,80.75250244140625
1680772788.189866,338,80.68384552001953
1680773283.9636602,340,81.4720687866211
1680773778.488199,342,79.60575103759766
1680774026.3222713,343,80.28639221191406
1680774274.4446907,344,80.3830795288086
1680774522.6897268,345,79.17890167236328
1680774772.2089214,346,79.99679565429688
1680775268.7996898,348,78.88736724853516
1680775517.1163468,349,78.05049133300781
1680776262.3035362,352,77.820068359375
1680776757.245047,354,78.09040069580078
1680777004.4305677,355,77.47913360595703
1680777498.705872,357,78.79214477539062
1680777993.0979266,359,79.65074920654297
1680778240.1077259,360,78.95836639404297
1680778487.1928935,361,79.83855438232422
1680778981.80845,363,78.03701782226562
1680779228.9154003,364,76.98954010009766
1680779475.828028,365,75.85691833496094
1680779723.2666569,366,76.37847900390625
1680780217.4719508,368,75.17151641845703
1680780464.5702293,369,76.04154968261719
1680780958.9142716,371,76.8285903930664
1680781206.0165112,372,75.478515625
1680781700.1728618,374,75.81656646728516
1680782194.1903055,376,74.3346939086914
1680782441.6014557,377,74.22085571289062
1680782688.5826955,378,75.0767822265625
1680782935.6410263,379,73.86332702636719
1680783182.5646846,380,73.65061950683594
1680783676.6828449,382,74.34253692626953
1680783923.920886,383,73.06885528564453
1680784667.1958368,386,75.00430297851562
1680784914.2241893,387,72.96725463867188
1680785162.734878,388,74.60503387451172
1680785409.6259167,389,74.72160339355469
1680785903.5348125,391,74.71890258789062
1680786150.599656,392,72.93846130371094
1680786397.368255,393,71.34862518310547
1680786644.4669669,394,72.48050689697266
1680787880.292518,399,73.66230773925781
1680788870.007506,403,66.63399505615234
1680789118.706385,404,65.76750183105469
1680789613.2663271,406,65.01978302001953
1680789860.5202394,407,65.09228515625
1680790355.022531,409,64.90180969238281
1680792086.172892,416,62.86662673950195
1680792333.4835384,417,62.84493637084961
1680793075.5898108,420,62.442501068115234
1680793323.1339796,421,63.55810546875
1680793570.5006611,422,62.83542251586914
1680793817.81818,423,62.07630920410156
1680794314.197746,425,62.98171615600586
1680794810.8929884,427,62.3608512878418
1680795305.5230498,429,62.07713317871094
1680795800.3661444,431,61.597564697265625
1680797037.0110357,436,62.08503341674805
1680798026.552923,440,60.77883529663086
1680798273.8895001,441,61.178016662597656
1680798521.275378,442,59.85454559326172
1680798768.7094889,443,62.03279495239258
1680799265.0861394,445,60.769569396972656
1680799512.642803,446,60.68473434448242
1680800255.086618,449,60.17108917236328
1680800998.2813835,452,58.93324661254883
1680801740.7300076,455,60.506675720214844
1680802483.157372,458,61.24724197387695
1680802730.6999593,459,59.64540481567383
1680802978.3002963,460,60.29121780395508
1680803225.6498568,461,59.55742645263672
1680803473.11478,462,59.02337646484375
1680803968.0497863,464,59.553955078125
1680804215.5189419,465,59.48980712890625
1680804462.871396,466,58.7849235534668
1680804710.413336,467,59.112239837646484
1680804957.9834998,468,59.226287841796875
1680805205.5769613,469,58.78684997558594
1680805452.9856095,470,58.72494888305664
1680805948.0350497,472,58.03666687011719
1680806445.7352989,474,59.080928802490234
1680806693.288655,475,59.24732208251953
1680807436.0603404,478,59.14518737792969
1680807683.6044362,479,58.67134475708008
1680808674.146204,483,58.02708053588867
1680809416.6874166,486,58.81439971923828
1680809664.2567532,487,57.92893981933594
1680810159.479244,489,58.782806396484375
